T,1,1,0.8378069E+05,5755345E-03,0.1409E+03,-0.2333E+02,0.9983357,0.0560262,0.0136697
T,2,1,0.8347463E+05,5755180E-03,-0.8001E+01,-0.8847E+02,0.9991206,-0.0170125,-0.0383217
T,3,1,0.8352050E+05,5755122E-03,-0.2658E+03,-0.8325E+02,0.9992031,-0.0350290,-0.0191345
T,4,1,0.8369923E+05,5753038E-03,0.5244E+02,-0.1204E+03,0.9992947,-0.0233227,-0.0294314
T,5,1,0.8353927E+05,5753214E-03,-0.1866E+03,-0.4021E+02,0.9967273,-0.0694378,-0.0413896
T,6,1,0.8352507E+05,5753995E-03,0.4152E+02,0.3182E+03,0.9976699,-0.0590246,-0.0342193
T,7,1,0.8411395E+05,5753268E-03,-0.1300E+03,0.2066E+03,0.9996708,-0.0196939,0.0164477
T,8,1,0.8360883E+05,5754587E-03,0.1945E+03,-0.1640E+02,0.9995256,0.0300032,0.0069595
T,9,1,0.8405148E+05,5752263E-03,-0.9748E+02,-0.1425E+03,0.9893647,-0.1095527,-0.0956853
T,10,1,0.8270224E+05,5755605E-03,-0.3007E+02,-0.6340E+02,0.9998847,-0.0057312,-0.0140632
T,11,1,0.8113516E+05,5755172E-03,0.6709E+01,-0.5814E+02,0.9997617,0.0134632,0.0171850
T,12,1,0.8295859E+05,5751373E-03,0.1026E+03,0.1898E+03,0.9923654,0.1198759,-0.0289935
T,13,1,0.8427632E+05,5752765E-03,0.2950E+03,-0.6876E+02,0.9664588,0.2466747,-0.0714770
T,14,1,0.8290028E+05,5754220E-03,-0.1324E+03,0.5062E+02,0.9987222,-0.0159824,0.0479428
T,15,1,0.8149169E+05,5753230E-03,0.4659E+02,0.4973E+01,0.9998323,-0.0051074,-0.0175848
T,16,1,0.8388166E+05,5755461E-03,0.3414E+02,0.6464E+02,0.9993588,0.0232890,0.0271958
T,17,1,0.8309990E+05,5755100E-03,-0.1586E+02,-0.2190E+02,0.9997965,0.0201546,-0.0008377
