============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(60 keV) ==> Layer 1+Kapton Polyimide( 2000 A) ==========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  2 ,3387423E+05   2001161E-03  ,9256E+02  ,1226E+02   ,9823234 -,1853886  ,0259190
T    2  2 ,3298962E+05   2001392E-03  ,1497E+03  ,1265E+03   ,9183079  ,3409853  ,2010963
T    3  2 ,3259801E+05   2000430E-03 -,2667E+03  ,5027E+02   ,9735507 -,2247904  ,0408455
T    4  2 ,3265308E+05   2000778E-03  ,6850E+02  ,1809E+03   ,9828022 -,0371413  ,1808877
T    5  2 ,3200287E+05   2000358E-03  ,2607E+03 -,4787E+02   ,9856616  ,1687300 -,0012084
T    6  2 ,3326322E+05   2001296E-03  ,8039E+01 -,2847E+03   ,9742363 -,0396729 -,2220127
T    7  2 ,3362049E+05   2001149E-03 -,5990E+02 -,2006E+03   ,9756384 -,0752922 -,2060600
T    8  2 ,3295323E+05   2001654E-03  ,3684E+02  ,3695E+02   ,9938167  ,1109831 -,0033446
T    9  2 ,2902551E+05   2000864E-03 -,6571E+03  ,4854E+03   ,8420282 -,2166297  ,4940243
T   10  2 ,3335293E+05   2001590E-03 -,4688E+03  ,4590E+02   ,9626738 -,2468136  ,1110958
T   11  2 ,3334504E+05   2001957E-03 -,9916E+02  ,9818E+02   ,9961679 -,0870461  ,0085109
T   12  2 ,3241931E+05   2000976E-03  ,9686E+02  ,1419E+03   ,9741065  ,1131522  ,1957373
T   13  2 ,3277605E+05   2000807E-03  ,7129E+02 -,2387E+03   ,9814426  ,0651751 -,1803403
T   14  2 ,3265813E+05   2001108E-03  ,7935E+02  ,6542E+02   ,9890073  ,1474953 -,0104727
T   15  2 ,3345739E+05   2000913E-03  ,1491E+03  ,3651E+02   ,9920677  ,1253855  ,0089524
T   16  2 ,3547882E+05   2000619E-03  ,1868E+01 -,7721E+02   ,9993721 -,0354025 -,0014314
T   17  2 ,3369905E+05   2000739E-03  ,7474E+02  ,3673E+02   ,9972912  ,0688609 -,0258526
T   18  2 ,3301782E+05   2000427E-03  ,1622E+03  ,9047E+02   ,9832633  ,1140304  ,1420929
T   19  2 ,3226005E+05   2000906E-03  ,3264E+03 -,1599E+03   ,9805258  ,1676367 -,1023083
T   20  2 ,3191195E+05   2000920E-03  ,3910E+02 -,3718E+02   ,9981429  ,0174864  ,0583523
T   21  2 ,1582396E+05   2001813E-03 -,9599E+03  ,1796E+04   ,9374730  ,1673397  ,3051914
T   22  2 ,3322907E+05   2001804E-03  ,1990E+03  ,9948E+01   ,9903607  ,1345578  ,0328623
T   23  2 ,3358856E+05   2000304E-03  ,1991E+02  ,9554E+02   ,9991474  ,0347865  ,0222336
T   24  2 ,3175697E+05   2002079E-03  ,1271E+03 -,1460E+03   ,9627442  ,0904910 -,2548236
T   25  2 ,3357888E+05   2000159E-03 -,7633E+02  ,3036E+03   ,9636110 -,1041957  ,2461649
T   26  2 ,3284119E+05   2001075E-03 -,5782E+02 -,1599E+03   ,9905472  ,0147013 -,1363825
T   27  2 ,3208982E+05   2000197E-03 -,2622E+03 -,2938E+03   ,9828388 -,0641007 -,1729711
T   28  2 ,3350734E+05   2000474E-03 -,1716E+03  ,2393E+02   ,9838545 -,1619622  ,0761483
T   29  2 ,3445709E+05   2000240E-03  ,3759E+02  ,1849E+03   ,9976389  ,0059211  ,0684224
T   30  2 ,3286811E+05   2000850E-03  ,1040E+03  ,2440E+03   ,9928015  ,1052002  ,0572541
T   31  2 ,2656255E+05   2000356E-03 -,1023E+04  ,5677E+03   ,8674347 -,4565377  ,1978141
T   32  2 ,3152544E+05   2002055E-03 -,5288E+03  ,2163E+03   ,9674709 -,2294972  ,1064474
T   33  2 ,3400263E+05   2000562E-03  ,1335E+03 -,5468E+02   ,9867016  ,1293993 -,0983650
T   34  2 ,3292002E+05   2000341E-03 -,1230E+03  ,1345E+03   ,9632029 -,0997863  ,2495655
T   35  2 ,3449712E+05   2001610E-03 -,8840E+02 -,1107E+03   ,9950167 -,0217106 -,0973156
