============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(20 keV) ==> Layer 1+Kapton Polyimide( 2000 A) ==========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T   65  2 ,4486396E+04   2000455E-03 -,1539E+03 -,1211E+03   ,3123403 -,7653136 -,5627954
T   66  2 ,2446755E+04   2000514E-03  ,1403E+04  ,3388E+03   ,8100269  ,5700264 -,1375728
T   68  2 ,1200873E+04   2000694E-03 -,3296E+03  ,6781E+03   ,6499256 -,6760203  ,3472653
T   70  2 ,5932007E+04   2001233E-03  ,1394E+02 -,3290E+03   ,9306611 -,0191368 -,3653815
T   71  2 ,4164426E+04   2000806E-03 -,2359E+02 -,5001E+02   ,5297379 -,1519487  ,8344396
T   72  2 ,4530007E+04   2001186E-03  ,2923E+03 -,2731E+03   ,7396978  ,4318234 -,5161160
S   73 13 ,3787143E+01   0000000E+00 -,7602E+01 -,1204E+02  -,9530289 -,2785996 -,1188199
S   73 13 ,4515339E+01   0000000E+00 -,3722E+01 -,2588E+01  -,9813491 -,1149485 -,1540805
T   73  2 ,4388381E+04   2001163E-03  ,7279E+03 -,7745E+03   ,8803651  ,1564131 -,4477635
T   75  2 ,4391411E+04   2001413E-03  ,6292E+03  ,7051E+03   ,9355304  ,1048591  ,3373239
B   76  2 ,7032042E+04 -  2306612E-06  ,9775E+02 -,1594E+03  -,9371159 -,0962437 -,3354862
T   77  2 ,4670323E+04   2000947E-03  ,1650E+03 -,6097E+02   ,9288280 -,3675505 -,0467447
T   81  2 ,3775597E+04   2000361E-03  ,3051E+03 -,3233E+03   ,9256022  ,3241928 -,1953448
T   82  2 ,5420291E+04   2000793E-03 -,6308E+02  ,3916E+03   ,8053339 -,4959619  ,3247448
S   83 13 ,5460577E+02   0000000E+00  ,9869E+01 -,1649E+03  -,9704003  ,2402047  ,0249999
S   83 13 ,3318934E+02   0000000E+00  ,7221E+01 -,1646E+03  -,9805385  ,1948940  ,0236777
S   83 13 ,5542352E+02   0000000E+00  ,8102E+01 -,1721E+03  -,8148844 -,4870497 -,3142387
S   83 13 ,7404524E+01   0000000E+00  ,8590E+01 -,1692E+03  -,7732520 -,6307976 -,0646198
S   83 13 ,2297758E+02   0000000E+00  ,8634E+01 -,1699E+03  -,9873539 -,0484713  ,1509401
B   83  2 ,1050452E+05 -  5219477E-08 -,7586E+02 -,1216E+03  -,5702429 -,4237724 -,7037329
T   84  2 ,5121921E+04   2001723E-03  ,4063E+03  ,5067E+03   ,9552497  ,2047943  ,2134415
T   85  2 ,2429890E+04   2000747E-03  ,1233E+03 -,5375E+02   ,6947074  ,6835963 -,2237806
T   86  2 ,5801938E+04   2000773E-03 -,4163E+01 -,3731E+03   ,9725323  ,1050084 -,2077358
T   87  2 ,4344416E+04   2001349E-03  ,2325E+03 -,1938E+03   ,7103322  ,5067714 -,4884781
T   89  2 ,5856939E+03   2000489E-03  ,9439E+03 -,8603E+02   ,9183657  ,2826690  ,2769526
T   90  2 ,2391067E+04   2000293E-03 -,1300E+04 -,2348E+03   ,2587936 -,4766805 -,8401200
T   91  2 ,4813727E+04   2000231E-03 -,1420E+03  ,2339E+03   ,9255654  ,0639681  ,3731444
S   93 13 ,9046751E+02   0000000E+00  ,1052E+01  ,1894E+02  -,9766768  ,1959533  ,0877767
S   93 13 ,7690259E+01   0000000E+00 -,2449E+00  ,1888E+02  -,7597695  ,6487002 -,0440269
S   93 13 ,1084037E+02   0000000E+00 -,1037E+02  ,1734E+02  -,5722885 -,7435433 -,3458748
S   93 13 ,2777180E+02   0000000E+00 -,8567E+01  ,1674E+02  -,8123128 -,0365010 -,5820786
S   93 13 ,4476607E+02   0000000E+00 -,4993E+01  ,1960E+02  -,9545742  ,2368526 -,1808007
S   93 13 ,9165179E+01   0000000E+00 -,1567E+02  ,1349E+02  -,8920206  ,2232874  ,3929911
S   93 13 ,6255169E+01   0000000E+00 -,4415E+01 -,1708E+01  -,8223072 -,5634344 -,0797025
S   93 13 ,7830838E+01   0000000E+00  ,6757E-01  ,2076E-01  -,7597238  ,5262270 -,3819750
S   93 13 ,9302311E+02   0000000E+00 -,2072E+01  ,1460E+01  -,9321803 -,3127702  ,1822490
T   95  2 ,4152161E+04   2000848E-03 -,3408E+03  ,7087E+03   ,3863468 -,5412929  ,7468187
T   96  2 ,4796585E+04   2001814E-03  ,1971E+03  ,2161E+03   ,8954502  ,1767866  ,4085529
T   97  2 ,4483090E+04   2001016E-03  ,5406E+03 -,3250E+03   ,5966917  ,6225522 -,5063474
T   98  2 ,2330006E+04   2000723E-03  ,3140E+02  ,1409E+04   ,3223889 -,3551389  ,8774632
T   99  2 ,3713043E+04   2000510E-03 -,4527E+01  ,5334E+03   ,6404602  ,6811050  ,3548335
T  100  2 ,4217802E+04   2001349E-03  ,3159E+03  ,2323E+03   ,6676951  ,5861366  ,4589413
T  101  2 ,4990128E+04   2002102E-03 -,2743E+02 -,3685E+03   ,9322335  ,2454147  ,2659181
T  102  2 ,1735149E+04   2001383E-03 -,8719E+03  ,2551E+03   ,6393247 -,6894693  ,3404351
T  103  2 ,5975435E+04   2000502E-03 -,7679E+02 -,4534E+03   ,7545320 -,1834067 -,6301138
T  104  2 ,4780799E+04   2001379E-03 -,8496E+03 -,3992E+03   ,6405727 -,6384812 -,4266244
T  105  2 ,4963054E+04   2000289E-03 -,4314E+03 -,5073E+02   ,8371845 -,3667946 -,4056892
T  106  2 ,2098335E+04   2000700E-03  ,9369E+03 -,7552E+03   ,9319224  ,2728765 -,2388703
T  107  2 ,2859421E+04   2001893E-03 -,4345E+03  ,9905E+03   ,8712697 -,4740060  ,1273085
T  110  2 ,4271867E+04   2000784E-03 -,8557E+02 -,2365E+03   ,9828989  ,1840670  ,0053924
T  113  2 ,1565781E+04   2000733E-03  ,6862E+02 -,5497E+03   ,7824362 -,2576555 -,5669279
T  114  2 ,1877831E+04   2001063E-03  ,4963E+03  ,1118E+03   ,6323832  ,7502618 -,1928696
T  115  2 ,5220188E+04   2000903E-03 -,7388E+02  ,6410E+02   ,8966875 -,1358133  ,4213150
T  116  2 ,6365906E+04   2002165E-03  ,4283E+02  ,1976E+03   ,9992294 -,0138388  ,0367303
T  117  2 ,3499369E+04   2000819E-03  ,6747E+03  ,2641E+03   ,9463352  ,3171728 -,0620571
S  118 13 ,4976550E+02   0000000E+00  ,1335E+02  ,1454E+02  -,8739465  ,4331399  ,2204706
S  118 13 ,6035632E+02   0000000E+00  ,1323E+02  ,1939E+02  -,9797130  ,0213378  ,1992668
S  118 13 ,2128344E+02   0000000E+00  ,1231E+02  ,1522E+02  -,9156264  ,3548281 -,1890114
S  118 13 ,9853237E+02   0000000E+00  ,8827E+01  ,1595E+02  -,9858352 -,1658762 -,0247810
S  118 13 ,3513841E+01   0000000E+00  ,1229E+01  ,1278E+02  -,9956529 -,0319323 -,0874960
S  118 13 ,4380551E+01   0000000E+00  ,1833E+01  ,1147E+02  -,9865392  ,1026864 -,1272630
