============================== SRIM-2013.00 ==============================
==============================================================================
===== TRIMOUT.txt: File of Transmitted / Backscattered / Sputtered Atoms =====
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(80 keV) ==> Aluminum+Kapton Polyimid( 2000 A) ==========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T    1  1 ,5876659E+05   2000413E-03  ,3770E+02  ,5936E+01   ,9984452 -,0531759  ,0167176
T    2  1 ,5836455E+05   2000910E-03 -,4511E+02  ,4053E+02   ,9922163 -,0729114  ,1009492
T    3  1 ,5718206E+05   2002127E-03  ,1873E+02  ,1126E+03   ,9965068  ,0127883  ,0825269
T    4  1 ,5724034E+05   2000008E-03  ,4045E+02  ,4589E+02   ,9993569 -,0042912  ,0355991
T    5  1 ,5742218E+05   2002203E-03  ,6853E+02  ,4927E+02   ,9981330  ,0427320  ,0436402
T    6  1 ,5814864E+05   2000929E-03  ,1911E+02  ,2268E+02   ,9995713  ,0277969  ,0091998
T    7  1 ,5860127E+05   2001348E-03 -,5908E+02 -,6278E+02   ,9979696 -,0428963 -,0470809
T    8  1 ,5782656E+05   2001137E-03  ,1011E+02  ,1016E+02   ,9998103  ,0168222  ,0098205
T    9  1 ,5784059E+05   2001660E-03 -,4862E+01 -,2449E+02   ,9965753 -,0816053 -,0133532
T   10  1 ,5891063E+05   2001515E-03 -,8334E+02 -,1324E+02   ,9984022 -,0563101  ,0047132
T   11  1 ,5753282E+05   2000835E-03  ,2833E+02 -,4367E+01   ,9997030  ,0224462  ,0094880
T   12  1 ,5775926E+05   2000511E-03 -,2593E+02  ,1060E+00   ,9979644 -,0626137 -,0121031
T   13  1 ,5782132E+05   2000512E-03  ,1331E+03 -,1736E+03   ,9906809  ,0723413 -,1154039
T   14  1 ,5746268E+05   2000249E-03  ,1045E+02 -,5305E+02   ,9978160 -,0356901 -,0555827
T   15  1 ,5817743E+05   2001802E-03  ,4996E+02  ,3875E+02   ,9982012  ,0449838  ,0396343
T   16  1 ,5901130E+05   2002074E-03  ,4795E+02 -,1447E+03   ,9973632  ,0102008 -,0718515
T   17  1 ,5821630E+05   2001952E-03 -,5443E+01  ,1739E+03   ,9948775 -,0125497  ,1003062
T   18  1 ,5760790E+05   2000196E-03  ,3087E+02 -,1564E+02   ,9990166  ,0427600  ,0117249
T   19  1 ,5847451E+05   2000836E-03  ,1441E+03 -,1279E+03   ,9944396  ,0826190 -,0652985
T   20  1 ,5660862E+05   2001226E-03 -,1576E+03 -,6779E+02   ,9971132 -,0751099 -,0111245
T   21  1 ,5794673E+05   2000760E-03  ,1422E+03 -,4143E+02   ,9953217  ,0822038 -,0507657
T   22  1 ,5798305E+05   2001132E-03 -,6500E-01  ,1392E+02   ,9996012  ,0060404  ,0275862
T   23  1 ,5739409E+05   2000786E-03 -,1183E+02  ,1959E+02   ,9996635 -,0191228 -,0175268
T   24  1 ,5762878E+05   2001412E-03 -,2176E+02 -,9957E+02   ,9964681 -,0270338 -,0795017
T   25  1 ,5803556E+05   2002222E-03  ,2510E+02 -,4747E+02   ,9982669  ,0343862 -,0477567
T   26  1 ,5816437E+05   2000795E-03 -,2358E+02 -,2178E+02   ,9981835  ,0014430  ,0602293
