T,1,1,0.1411077E+06,2001091E-03,0.1952E+02,0.3115E+01,0.9997350,-0.0207932,0.0098758
T,2,1,0.1408178E+06,2000792E-03,-0.2134E+02,0.1706E+02,0.9985533,-0.0332283,0.0422747
T,3,1,0.1396986E+06,2000450E-03,-0.3983E+00,0.5499E+02,0.9992247,-0.0006159,0.0393649
T,4,1,0.1396498E+06,2000980E-03,-0.2506E+02,0.1766E+02,0.9998598,-0.0166627,-0.0016790
T,5,1,0.1398477E+06,2000542E-03,0.3612E+02,0.1368E+02,0.9995927,0.0247299,0.0142429
T,6,1,0.1404962E+06,2001218E-03,-0.1345E+02,-0.3770E+01,0.9998923,-0.0144042,0.0028220
T,7,1,0.1411259E+06,2000796E-03,0.1895E+02,-0.3638E+02,0.9995480,0.0143646,-0.0264076
T,8,1,0.1402007E+06,2001262E-03,-0.2446E+01,0.5714E+01,0.9999654,-0.0013088,0.0082132
T,9,1,0.1403432E+06,2000932E-03,-0.1093E+02,-0.4674E+01,0.9993314,-0.0223510,0.0289346
T,10,1,0.1413302E+06,2000809E-03,-0.4068E+02,-0.6352E+01,0.9996311,-0.0271132,0.0015653
T,11,1,0.1398409E+06,2001197E-03,-0.9157E+01,0.9382E+01,0.9999350,-0.0109344,0.0032360
T,12,1,0.1400167E+06,2001150E-03,-0.1648E+01,0.1069E+02,0.9996204,-0.0091979,0.0259706
T,13,1,0.1402902E+06,2000322E-03,-0.1835E+02,0.9988E+02,0.9977649,-0.0161426,0.0648437
T,14,1,0.1399708E+06,2001090E-03,0.6353E+01,0.2358E+02,0.9995706,0.0227393,0.0184807
T,15,1,0.1405043E+06,2000929E-03,-0.2239E+02,0.1856E+02,0.9996032,-0.0236204,0.0153475
T,16,1,0.1416266E+06,2001822E-03,0.4531E+02,-0.6570E+02,0.9992307,0.0195869,-0.0339771
T,17,1,0.1407989E+06,2001841E-03,-0.7262E+02,-0.2397E+02,0.9989072,-0.0429358,-0.0184625
T,18,1,0.1400792E+06,2001068E-03,-0.1430E+02,-0.1632E-01,0.9998123,-0.0127008,-0.0146293
T,19,1,0.1409616E+06,2001347E-03,0.3548E+02,0.7186E+02,0.9989080,0.0169955,0.0435205
T,20,1,0.1393746E+06,2000618E-03,0.3156E+02,-0.2892E+02,0.9998389,-0.0030110,-0.0176955
T,21,1,0.1402475E+06,2002125E-03,0.2937E+01,-0.6429E+02,0.9989840,-0.0073429,-0.0444650
T,22,1,0.1404738E+06,2001148E-03,-0.1190E+02,-0.1171E+02,0.9999339,0.0080352,0.0082229
T,23,1,0.1401453E+06,2001127E-03,0.1186E+02,0.5089E+01,0.9998995,-0.0093722,0.0106372
T,24,1,0.1400341E+06,2000466E-03,0.4017E+02,-0.1251E+02,0.9992382,0.0344246,-0.0183843
T,25,1,0.1402511E+06,2001042E-03,-0.3055E+01,-0.2284E+02,0.9996702,0.0048571,-0.0252165
T,26,1,0.1405960E+06,2001162E-03,-0.8820E+01,0.1619E+02,0.9999721,0.0019392,0.0072111
T,27,1,0.1398122E+06,2002218E-03,-0.4362E+02,0.5112E+02,0.9985300,-0.0411446,0.0352845
T,28,1,0.1392640E+06,2001157E-03,-0.1542E+02,0.1272E+02,0.9998995,-0.0117517,0.0079361
T,29,1,0.1409117E+06,2001027E-03,-0.1069E+02,-0.2406E+02,0.9994899,-0.0015100,-0.0318999
T,30,1,0.1404855E+06,2001003E-03,-0.2056E+02,0.1800E+02,0.9996277,-0.0269915,0.0039958
T,31,1,0.1397258E+06,2000825E-03,-0.1734E+02,-0.4765E+01,0.9984169,-0.0012290,-0.0562326
T,32,1,0.1403048E+06,2000798E-03,0.2913E+02,0.2892E+02,0.9997370,0.0141192,0.0180729
T,33,1,0.1396764E+06,2000928E-03,-0.2439E+02,-0.1806E+02,0.9999211,-0.0116415,-0.0047179
T,34,1,0.1397503E+06,2000150E-03,-0.7162E+01,-0.5913E+02,0.9981563,-0.0096062,-0.0599313
T,35,1,0.1398885E+06,2001028E-03,0.3429E+01,-0.2364E+02,0.9996127,0.0204241,-0.0189027
T,36,1,0.1398609E+06,2000964E-03,0.1146E+02,0.2848E+02,0.9998273,0.0015745,0.0185168
T,37,1,0.1414509E+06,2001214E-03,0.3539E+01,-0.6485E+01,0.9999084,-0.0126231,-0.0048849
T,38,1,0.1404236E+06,2001283E-03,-0.5800E-01,-0.3512E+00,0.9999958,-0.0026420,-0.0012219
T,39,1,0.1394026E+06,2000803E-03,-0.2952E+02,-0.1414E+02,0.9994665,-0.0178597,-0.0273436
T,40,1,0.1407103E+06,2001189E-03,-0.1224E+02,-0.1187E+02,0.9999810,-0.0038643,-0.0048059
T,41,1,0.1406055E+06,2001115E-03,-0.1564E+02,-0.1563E+02,0.9998147,-0.0176703,0.0076434
T,42,1,0.1416954E+06,2000737E-03,0.1254E+02,0.4238E+02,0.9995700,0.0092879,0.0278126
T,43,1,0.1399690E+06,2001033E-03,-0.2348E+02,-0.2281E+01,0.9999056,0.0020807,-0.0135831
T,44,1,0.1403255E+06,2000739E-03,-0.3734E+01,-0.2328E+02,0.9987561,0.0237670,-0.0438328
T,45,1,0.1408643E+06,2001145E-03,-0.1946E+02,0.9561E+01,0.9998742,-0.0157695,-0.0016935
T,46,1,0.1398594E+06,2001208E-03,0.9186E+01,-0.5987E+01,0.9997865,0.0090784,-0.0185608
T,47,1,0.1392154E+06,2001707E-03,0.6838E+02,0.4490E+02,0.9992551,0.0250319,0.0293713
T,48,1,0.1404957E+06,2002233E-03,-0.6441E+02,0.1318E+02,0.9996475,-0.0263304,0.0033959
T,49,1,0.1396758E+06,2001135E-03,0.1638E+02,0.1221E+02,0.9999948,0.0001046,0.0032210
