============================== SRIM-2013.00 ==============================
==============================================================================
========== SRIM Outputs\BACKSCATSRIM Outputs\ : File of Backscattered Ions =============
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.= He(50 keV) ==> Aluminum+Polypropylene (( 5750 A) ==========
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
B  232  2 ,7374941E+04 -  9346444E-07  ,2998E+03  ,1582E+04  -,5294662 -,1357586  ,8373978
B  266  2 ,1041549E+05 -  9743106E-07  ,6065E+03  ,8679E+03  -,7045844  ,4002251  ,5859869
B  284  2 ,7463927E+04 -  1149623E-06  ,1560E+04  ,2660E+03  -,6063607  ,7612801 -,2297375
B  548  2 ,1289942E+05 -  6139461E-07 -,1890E+03  ,8606E+03  -,6910948 -,1595200  ,7049407
B  870  2 ,1770182E+05 -  8831013E-07 -,2189E+03  ,3779E+00  -,8271462 -,5424847  ,1467631
B  905  2 ,1141408E+05 -  1381834E-07 -,1451E+04 -,2596E+03  -,3296368 -,9351528 -,1297259
B 1351  2 ,1554402E+03 -  6829734E-07  ,2821E+04  ,1415E+04  -,8381719  ,1699885 -,5182391
B 1487  2 ,5942354E+04 -  6272325E-07  ,2114E+04  ,8198E+02  -,4281871  ,7194492 -,5468534
B 1964  2 ,8729859E+04 -  1335970E-06  ,5596E+03 -,1170E+04  -,6945702  ,5007983 -,5165011
B 2920  2 ,3362644E+04 -  1955509E-06 -,2172E+03  ,2312E+04  -,8387556 -,1875717  ,5111808
B 2998  2 ,2044728E+04 -  2196394E-07  ,2190E+04  ,1973E+04  -,6672836 -,3264194 -,6694647
B 4414  2 ,1576977E+05 -  1403360E-07 -,5708E+03  ,1826E+03  -,4832325 -,4448947  ,7540259
B 4470  2 ,2671476E+05 -  1330568E-07  ,1561E+03  ,6690E+02  -,5765318  ,7435318  ,3387795
B 4509  2 ,1280720E+05 -  6580878E-08 -,1826E+02  ,1202E+04  -,3857804 -,4499040  ,8054563
B 4543  2 ,8590503E+04 -  1944728E-06  ,7676E+03  ,8315E+03  -,8142716  ,4597542  ,3543836
B 4711  2 ,8168182E+04 -  1457268E-06 -,8873E+02 -,1180E+04  -,6727649 -,0507599 -,7381130
B 5055  2 ,6670958E+03 -  1038566E-06  ,1074E+04  ,2746E+04  -,5468017 -,5087482 -,6649685
B 5598  2 ,1050871E+05 -  9568683E-07  ,4487E+03  ,1397E+04  -,8392126  ,4704536  ,2727555
B 5868  2 ,7825827E+04 -  1334768E-06  ,4294E+03 -,1002E+04  -,9300417  ,3418118 -,1348597
B 6223  2 ,9677420E+04 -  5654517E-07 -,1705E+04 -,4844E+03  -,7295292 -,6803843 -,0697457
B 6653  2 ,5774677E+04 -  6744967E-07 -,7707E+03  ,1960E+04  -,5277519 -,5094555  ,6796565
B 6761  2 ,3046478E+05 -  4724718E-07  ,7364E+02 -,3098E+03  -,2409333  ,2162834 -,9461356
B 7332  2 ,1478432E+04 -  5794233E-07  ,2016E+04  ,9263E+03  -,8527788 -,4389520 -,2830007
B 7821  2 ,3518634E+04 -  9382194E-07 -,1257E+04 -,1066E+04  -,4959070  ,8275257  ,2632061
B 8658  2 ,2480735E+05 -  3973259E-08  ,1369E+03 -,4278E+03  -,4672518  ,3219589 -,8234186
B 9868  2 ,2174691E+05 -  9689821E-07 -,6967E+03  ,1960E+03  -,4901081 -,7793938  ,3903067
